name,path,type
html-snippets,https://catswhocode.com/html-snippets/,文章
office,https://www.office.com/,saas
腾讯文档,https://docs.qq.com,saas
金山文档;wps,https://www.kdocs.cn,saas
github,github.com;github.dev;github.io,社区
worktile,https://worktile.com,saas
飞书,https://www.feishu.cn,saas
Lightly,https://lightly.teamcode.com/,saas
微信,https://wx.qq.com/,平台
npm,npmjs.com,平台
react,https://reactjs.org/,文档
vue,https://cn.vuejs.org,文档
dockerhub,hub.docker.com,平台
play-with-docker,https://www.docker.com/play-with-docker,平台
vultr,https://www.vultr.com,云服务
阿里云,https://home.console.aliyun.com/,云服务
天翼云,https://www.ctyun.cn/console,云服务
腾讯云,https://console.cloud.tencent.com/,云服务
微信开放平台,https://open.weixin.qq.com/,开发
飞书开放平台,open.feishu.cn/,开发
腾讯文档开放平台,https://docs.qq.com/open/developers/#/login,开发
网易云游戏,https://cg.163.com,saas
apifox,https://www.apifox.cn,开发
pixso,https://pixso.cn,saas
figma,https://www.figma.com,saas
蓝湖,https://lanhuapp.com,saas
百度网盘,http://pan.baidu.com/,云服务
天翼云盘,https://cloud.189.cn,云服务
SQL-OnLine-IDE,https://sqliteonline.com/,工具
photopea,https://www.photopea.com,工具
CoCalc-Online-Linux-Terminal,https://cocalc.com/features/terminal,工具
sqlite-viewer,https://marketplace.visualstudio.com/items?itemName=qwtel.sqlite-viewer,vscode插件